"Curso_ID","Grado","Sección","Jornada","Día","Hora","Materia","Docente_ID"
"1","1","A","Mañana","Lunes","07:00–07:45","Ingles","ESP-ING-07"
"1","1","A","Mañana","Lunes","07:45–08:30","Ciencias Sociales","FLEX-03"
"1","1","A","Mañana","Lunes","08:30–09:15","Ciencias Naturales","CIENCIAS-02"
"1","1","A","Mañana","Lunes","09:45–10:30","Espanol",""
"1","1","A","Mañana","Lunes","10:30–11:15","Educacion Fisica","EDF-ETICA-05"
"1","1","A","Mañana","Lunes","11:15–12:00","Matematicas","MAT-FIS-01"
"1","1","A","Mañana","Martes","07:00–07:45","Espanol","ESP-ING-03"
"1","1","A","Mañana","Martes","07:45–08:30","Ingles","ESP-ING-03"
"1","1","A","Mañana","Martes","08:30–09:15","Ciencias Sociales","FLEX-02"
"1","1","A","Mañana","Martes","09:45–10:30","Ciencias Naturales","CIENCIAS-02"
"1","1","A","Mañana","Martes","10:30–11:15","Artistica","FLEX-03"
"1","1","A","Mañana","Martes","11:15–12:00","Matematicas","MAT-FIS-03"
"1","1","A","Mañana","Miercoles","07:00–07:45","Ciencias Naturales","CIENCIAS-03"
"1","1","A","Mañana","Miercoles","07:45–08:30","Informatica","FLEX-04"
"1","1","A","Mañana","Miercoles","08:30–09:15","Matematicas","MAT-FIS-02"
"1","1","A","Mañana","Miercoles","09:45–10:30","Espanol","ESP-ING-04"
"1","1","A","Mañana","Miercoles","10:30–11:15","Artistica","FLEX-05"
"1","1","A","Mañana","Miercoles","11:15–12:00","Educacion Fisica","EDF-ETICA-01"
"1","1","A","Mañana","Jueves","07:00–07:45","Ingles","ESP-ING-05"
"1","1","A","Mañana","Jueves","07:45–08:30","Ciencias Naturales","CIENCIAS-01"
"1","1","A","Mañana","Jueves","08:30–09:15","Ciencias Sociales","FLEX-02"
"1","1","A","Mañana","Jueves","09:45–10:30","Etica","EDF-ETICA-01"
"1","1","A","Mañana","Jueves","10:30–11:15","Matematicas","MAT-FIS-05"
"1","1","A","Mañana","Jueves","11:15–12:00","Espanol","ESP-ING-07"
"1","1","A","Mañana","Viernes","07:00–07:45","Etica","EDF-ETICA-01"
"1","1","A","Mañana","Viernes","07:45–08:30","Matematicas","MAT-FIS-06"
"1","1","A","Mañana","Viernes","08:30–09:15","Educacion Fisica","EDF-ETICA-01"
"1","1","A","Mañana","Viernes","09:45–10:30","Espanol","ESP-ING-07"
